target_type,scale_k,wind_capacity_MW,pv_capacity_MW,annual_NH3_t,annual_load_shed_MWh,annual_curtail_MWh,annual_curtailment_ratio,annual_unit_cost_yuan_per_t,annual_plant_utilization,feasible
full_production_autonomy,3.96,158.4,253.44,22828.393518,0.0,340898.4582,0.502392,5773.26212,0.880725,0
full_production_autonomy,3.98,159.2,254.72,22862.395735,0.0,343855.1166,0.504203,5787.595453,0.882037,0
full_production_autonomy,4.0,160.0,256.0,22896.20494,0.0,346814.445,0.506,5801.921066,0.883341,0
full_production_autonomy,4.02,160.8,257.28,22929.967041,0.0,349774.425,0.507779,5816.212956,0.884644,0
full_production_autonomy,4.04,161.6,258.56,22963.729142,0.0,352734.405,0.509541,5830.462821,0.885946,0
full_production_autonomy,4.06,162.4,259.84,22997.289817,0.0,355697.1714,0.51129,5844.707431,0.887241,0
full_production_autonomy,4.08,163.2,261.12,23030.140728,0.0,358669.7562,0.513036,5859.039697,0.888509,0
full_production_autonomy,4.1,164.0,262.4,23062.608434,0.0,361647.642,0.514772,5873.401013,0.889761,0
full_production_autonomy,4.12,164.8,263.68,23094.301836,0.0,364636.239,0.516506,5887.86344,0.890984,0
full_production_autonomy,4.14,165.6,264.96,23125.004761,0.0,367638.5376,0.518243,5902.467601,0.892168,0
full_production_autonomy,4.16,166.4,266.24,23155.317889,0.0,370646.2284,0.519971,5917.104567,0.893338,0
full_production_autonomy,4.18,167.2,267.52,23185.631017,0.0,373653.9192,0.521683,5931.703261,0.894507,0
full_production_autonomy,4.2,168.0,268.8,23215.944145,0.0,376661.61,0.523378,5946.263832,0.895677,0
full_production_autonomy,4.22,168.8,270.08,23246.257272,0.0,379669.3008,0.525057,5960.786428,0.896846,0
full_production_autonomy,4.24,169.6,271.36,23276.5704,0.0,382676.9916,0.52672,5975.271199,0.898016,0
full_production_autonomy,4.26,170.4,272.64,23306.749807,0.0,385686.5322,0.52837,5989.74309,0.89918,0
full_production_autonomy,4.28,171.2,273.92,23336.79532,0.0,388697.925,0.530007,6004.20243,0.900339,0
full_production_autonomy,4.3,172.0,275.2,23366.545373,0.0,391713.405,0.531634,6018.679603,0.901487,0
full_production_autonomy,4.32,172.8,276.48,23395.787089,0.0,394735.917,0.533256,6033.21481,0.902615,0
full_production_autonomy,4.34,173.6,277.76,23424.544973,0.0,397765.122,0.534872,6047.804197,0.903725,0
full_production_autonomy,4.36,174.4,279.04,23453.084472,0.0,400797.348,0.536477,6062.398727,0.904826,0
full_production_autonomy,4.38,175.2,280.32,23481.623971,0.0,403829.574,0.538068,6076.957781,0.905927,0
full_production_autonomy,4.4,176.0,281.6,23508.346988,0.0,406886.928,0.539677,6091.823314,0.906958,0
full_production_autonomy,4.42,176.8,282.88,23534.333002,0.0,409954.4772,0.541286,6106.794101,0.90796,0
full_production_autonomy,4.44,177.6,284.16,23560.319017,0.0,413022.0264,0.542879,6121.731864,0.908963,0
full_production_autonomy,4.46,178.4,285.44,23585.624414,0.0,416098.9908,0.544471,6136.765673,0.909939,0
full_production_autonomy,4.48,179.2,286.72,23610.734718,0.0,419178.654,0.546052,6151.804309,0.910908,0
full_production_autonomy,4.5,180.0,288.0,23634.969398,0.0,422270.43,0.547635,6166.977675,0.911843,0
full_production_autonomy,4.52,180.8,289.28,23658.638487,0.0,425370.03,0.549214,6182.22788,0.912756,0
full_production_autonomy,4.54,181.6,290.56,23681.813465,0.0,428476.4652,0.550788,6197.542114,0.91365,0
full_production_autonomy,4.56,182.4,291.84,23703.425046,0.0,431604.5274,0.552375,6213.126187,0.914484,0
full_production_autonomy,4.58,183.2,293.12,23724.517706,0.0,434739.768,0.553958,6228.781631,0.915298,0
full_production_autonomy,4.6,184.0,294.4,23744.895181,0.0,437884.902,0.55554,6244.547111,0.916084,0
full_production_autonomy,4.62,184.8,295.68,23765.125316,0.0,441032.0742,0.55711,6260.314028,0.916864,0
full_production_autonomy,4.64,185.6,296.96,23784.969036,0.0,444184.5918,0.558674,6276.128994,0.91763,0
full_production_autonomy,4.66,186.4,298.24,23804.278005,0.0,447344.5068,0.560234,6292.021475,0.918375,0
full_production_autonomy,4.68,187.2,299.52,23823.060896,0.0,450511.6992,0.561789,6307.990662,0.9191,0
full_production_autonomy,4.7,188.0,300.8,23841.561687,0.0,453682.794,0.563336,6323.989783,0.919813,0
full_production_autonomy,4.72,188.8,302.08,23859.908458,0.0,456856.0194,0.564872,6339.994252,0.920521,0
full_production_autonomy,4.74,189.6,303.36,23877.510549,0.0,460039.5462,0.566409,6356.120345,0.9212,0
full_production_autonomy,4.76,190.4,304.64,23895.00039,0.0,463224.6258,0.567934,6372.244779,0.921875,0
full_production_autonomy,4.78,191.2,305.92,23912.490231,0.0,466409.7054,0.569446,6388.345627,0.92255,0
full_production_autonomy,4.8,192.0,307.2,23929.26094,0.0,469604.733,0.570958,6404.56529,0.923197,0
full_production_autonomy,4.82,192.8,308.48,23945.778781,0.0,472803.2586,0.572462,6420.812427,0.923834,0
full_production_autonomy,4.84,193.6,309.76,23961.49161,0.0,476012.9202,0.573966,6437.197396,0.92444,0
full_production_autonomy,4.86,194.4,311.04,23977.204439,0.0,479222.5818,0.575459,6453.560891,0.925046,0
full_production_autonomy,4.88,195.2,312.32,23992.917267,0.0,482432.2434,0.576939,6469.902953,0.925653,0
full_production_autonomy,4.9,196.0,313.6,24008.630096,0.0,485641.905,0.578406,6486.223625,0.926259,0
full_production_autonomy,4.92,196.8,314.88,24024.342925,0.0,488851.5666,0.579862,6502.522947,0.926865,0
full_production_autonomy,4.94,197.6,316.16,24039.398559,0.0,492070.3194,0.581317,6518.933585,0.927446,0
full_production_autonomy,4.96,198.4,317.44,24054.34732,0.0,495290.5506,0.582762,6535.345306,0.928023,0
full_production_autonomy,4.98,199.2,318.72,24069.296082,0.0,498510.7818,0.584196,6551.736642,0.928599,0
full_production_autonomy,5.0,200.0,320.0,24084.244843,0.0,501731.013,0.585617,6568.10763,0.929176,0
full_production_autonomy,5.02,200.8,321.28,24098.889123,0.0,504955.4562,0.587033,6584.52043,0.929741,0
full_production_autonomy,5.04,201.6,322.56,24112.962564,0.0,508187.796,0.588446,6601.030083,0.930284,0
full_production_autonomy,5.06,202.4,323.84,24126.785002,0.0,511423.608,0.589852,6617.57197,0.930817,0
full_production_autonomy,5.08,203.2,325.12,24140.44787,0.0,514661.6274,0.59125,6634.127743,0.931344,0
full_production_autonomy,5.1,204.0,326.4,24153.174867,0.0,517912.593,0.592651,6650.857865,0.931835,0
full_production_autonomy,5.12,204.8,327.68,24165.87428,0.0,521163.9402,0.594042,6667.576071,0.932325,0
full_production_autonomy,5.14,205.6,328.96,24178.573692,0.0,524415.2874,0.595423,6684.276716,0.932815,0
full_production_autonomy,5.16,206.4,330.24,24190.70387,0.0,527674.509,0.596801,6701.078265,0.933283,0
full_production_autonomy,5.18,207.2,331.52,24202.675995,0.0,530935.917,0.598171,6717.895953,0.933745,0
full_production_autonomy,5.2,208.0,332.8,24214.473976,0.0,534199.734,0.599533,6734.733452,0.9342,0
full_production_autonomy,5.22,208.8,334.08,24226.255171,0.0,537463.7832,0.600886,6751.558073,0.934655,0
full_production_autonomy,5.24,209.6,335.36,24238.036366,0.0,540727.8324,0.602227,6768.366339,0.935109,0
full_production_autonomy,5.26,210.4,336.64,24249.817561,0.0,543991.8816,0.603559,6785.158274,0.935564,0
full_production_autonomy,5.28,211.2,337.92,24261.598757,0.0,547255.9308,0.604881,6801.9339,0.936018,0
full_production_autonomy,5.3,212.0,339.2,24273.379952,0.0,550519.98,0.606192,6818.693242,0.936473,0
full_production_autonomy,5.32,212.8,340.48,24285.062733,0.0,553785.3906,0.607495,6835.457265,0.936924,0
full_production_autonomy,5.34,213.6,341.76,24296.589282,0.0,557052.9624,0.608791,6852.238505,0.937368,0
full_production_autonomy,5.36,214.4,343.04,24308.006573,0.0,560322.0456,0.610079,6869.027208,0.937809,0
full_production_autonomy,5.38,215.2,344.32,24319.423865,0.0,563591.1288,0.611357,6885.800148,0.938249,0
full_production_autonomy,5.4,216.0,345.6,24330.543614,0.0,566864.328,0.61263,6902.621365,0.938678,0
full_production_autonomy,5.42,216.8,346.88,24341.269359,0.0,570142.9776,0.6139,6919.512221,0.939092,0
full_production_autonomy,5.44,217.6,348.16,24351.995104,0.0,573421.6272,0.61516,6936.388199,0.939506,0
full_production_autonomy,5.46,218.4,349.44,24362.720848,0.0,576700.2768,0.616411,6953.249317,0.93992,0
full_production_autonomy,5.48,219.2,350.72,24373.446593,0.0,579978.9264,0.617653,6970.095596,0.940334,0
full_production_autonomy,5.5,220.0,352.0,24384.172337,0.0,583257.576,0.618886,6986.927054,0.940747,0
full_production_autonomy,5.52,220.8,353.28,24394.898082,0.0,586536.2256,0.62011,7003.743712,0.941161,0
full_production_autonomy,5.54,221.6,354.56,24405.623827,0.0,589814.8752,0.621325,7020.545589,0.941575,0
full_production_autonomy,5.56,222.4,355.84,24416.349571,0.0,593093.5248,0.622532,7037.332704,0.941989,0
full_production_autonomy,5.58,223.2,357.12,24427.075316,0.0,596372.1744,0.623729,7054.105076,0.942403,0
full_production_autonomy,5.6,224.0,358.4,24437.80106,0.0,599650.824,0.624919,7070.862727,0.942816,0
full_production_autonomy,5.62,224.8,359.68,24447.749465,0.0,602940.2268,0.626111,7087.778005,0.9432,0
full_production_autonomy,5.64,225.6,360.96,24457.637581,0.0,606230.4636,0.627295,7104.692926,0.943582,0
full_production_autonomy,5.66,226.4,362.24,24467.525696,0.0,609520.7004,0.628471,7121.594174,0.943963,0
full_production_autonomy,5.68,227.2,363.52,24477.413812,0.0,612810.9372,0.629638,7138.481768,0.944345,0
full_production_autonomy,5.7,228.0,364.8,24487.301928,0.0,616101.174,0.630798,7155.355723,0.944726,0
full_production_autonomy,5.72,228.8,366.08,24497.190043,0.0,619391.4108,0.631949,7172.216055,0.945108,0
full_production_autonomy,5.74,229.6,367.36,24506.811802,0.0,622685.3322,0.633096,7189.122793,0.945479,0
full_production_autonomy,5.76,230.4,368.64,24516.36039,0.0,625980.2658,0.634236,7206.032789,0.945847,0
full_production_autonomy,5.78,231.2,369.92,24525.908978,0.0,629275.1994,0.635369,7222.929619,0.946216,0
full_production_autonomy,5.8,232.0,371.2,24535.457566,0.0,632570.133,0.636493,7239.813297,0.946584,0
full_production_autonomy,5.82,232.8,372.48,24545.006154,0.0,635865.0666,0.63761,7256.683839,0.946952,0
full_production_autonomy,5.84,233.6,373.76,24554.554742,0.0,639160.0002,0.638719,7273.541259,0.947321,0
full_production_autonomy,5.86,234.4,375.04,24564.073489,0.0,642455.3466,0.639821,7290.392405,0.947688,0
full_production_autonomy,5.88,235.2,376.32,24573.401263,0.0,645753.3348,0.640918,7307.274324,0.948048,0
full_production_autonomy,5.9,236.0,377.6,24582.620819,0.0,649052.82,0.642009,7324.168332,0.948404,0
full_production_autonomy,5.92,236.8,378.88,24591.840376,0.0,652352.3052,0.643093,7341.049673,0.948759,0
full_production_autonomy,5.94,237.6,380.16,24601.059933,0.0,655651.7904,0.644169,7357.918361,0.949115,0
full_production_autonomy,5.96,238.4,381.44,24610.279489,0.0,658951.2756,0.645238,7374.77441,0.949471,0
full_production_autonomy,5.98,239.2,382.72,24619.499046,0.0,662250.7608,0.6463,7391.617835,0.949826,0
full_production_autonomy,6.0,240.0,384.0,24628.683904,0.0,665550.726,0.647356,7408.456737,0.950181,0
full_production_autonomy,6.02,240.8,385.28,24637.276453,0.0,668858.8848,0.648412,7425.421504,0.950512,0
full_production_autonomy,6.04,241.6,386.56,24645.869002,0.0,672167.0436,0.649461,7442.374442,0.950844,0
full_production_autonomy,6.06,242.4,387.84,24654.461552,0.0,675475.2024,0.650504,7459.315563,0.951175,0
full_production_autonomy,6.08,243.2,389.12,24663.054101,0.0,678783.3612,0.651539,7476.24488,0.951507,0
full_production_autonomy,6.1,244.0,390.4,24671.646651,0.0,682091.52,0.652568,7493.162404,0.951838,0
full_production_autonomy,6.12,244.8,391.68,24680.2392,0.0,685399.6788,0.65359,7510.068149,0.95217,0
full_production_autonomy,6.14,245.6,392.96,24688.831749,0.0,688707.8376,0.654606,7526.962126,0.952501,0
full_production_autonomy,6.16,246.4,394.24,24697.424299,0.0,692015.9964,0.655614,7543.844348,0.952833,0
full_production_autonomy,6.18,247.2,395.52,24706.016848,0.0,695324.1552,0.656617,7560.714826,0.953164,0
full_production_autonomy,6.2,248.0,396.8,24714.492289,0.0,698633.934,0.657614,7577.601578,0.953491,0
full_production_autonomy,6.22,248.8,398.08,24722.925658,0.0,701944.2948,0.658605,7594.486838,0.953817,0
full_production_autonomy,6.24,249.6,399.36,24731.359027,0.0,705254.6556,0.659591,7611.360582,0.954142,0
full_production_autonomy,6.26,250.4,400.64,24739.792395,0.0,708565.0164,0.660569,7628.222822,0.954467,0
full_production_autonomy,6.28,251.2,401.92,24748.225764,0.0,711875.3772,0.661542,7645.07357,0.954793,0
full_production_autonomy,6.3,252.0,403.2,24756.659133,0.0,715185.738,0.662508,7661.912837,0.955118,0
full_production_autonomy,6.32,252.8,404.48,24765.092501,0.0,718496.0988,0.663469,7678.740636,0.955443,0
full_production_autonomy,6.34,253.6,405.76,24773.52587,0.0,721806.4596,0.664423,7695.556978,0.955769,0
full_production_autonomy,6.36,254.4,407.04,24781.562284,0.0,725122.3116,0.665376,7712.458699,0.956079,0
full_production_autonomy,6.38,255.2,408.32,24789.402998,0.0,728440.8708,0.666326,7729.397316,0.956381,0
full_production_autonomy,6.4,256.0,409.6,24797.243711,0.0,731759.43,0.66727,7746.325221,0.956684,0
full_production_autonomy,6.42,256.8,410.88,24805.084424,0.0,735077.9892,0.668208,7763.242424,0.956986,0
full_production_autonomy,6.44,257.6,412.16,24812.925137,0.0,738396.5484,0.66914,7780.148936,0.957289,0
full_production_autonomy,6.46,258.4,413.44,24820.765851,0.0,741715.1076,0.670066,7797.044767,0.957591,0
full_production_autonomy,6.48,259.2,414.72,24828.606564,0.0,745033.6668,0.670987,7813.929927,0.957894,0
full_production_autonomy,6.5,260.0,416.0,24836.447277,0.0,748352.226,0.671902,7830.804425,0.958196,0
full_production_autonomy,6.52,260.8,417.28,24844.28799,0.0,751670.7852,0.672811,7847.668273,0.958499,0
full_production_autonomy,6.54,261.6,418.56,24852.128704,0.0,754989.3444,0.673715,7864.521479,0.958801,0
full_production_autonomy,6.56,262.4,419.84,24859.969417,0.0,758307.9036,0.674613,7881.364055,0.959104,0
full_production_autonomy,6.58,263.2,421.12,24867.790786,0.0,761626.7304,0.675506,7898.200857,0.959406,0
full_production_autonomy,6.6,264.0,422.4,24875.480819,0.0,764947.374,0.676395,7915.060055,0.959702,0
full_production_autonomy,6.62,264.8,423.68,24883.170853,0.0,768268.0176,0.677279,7931.908833,0.959999,0
full_production_autonomy,6.64,265.6,424.96,24890.860887,0.0,771588.6612,0.678158,7948.747199,0.960296,0
full_production_autonomy,6.66,266.4,426.24,24898.55092,0.0,774909.3048,0.679031,7965.575165,0.960592,0
full_production_autonomy,6.68,267.2,427.52,24906.070236,0.0,778232.31,0.679901,7982.436023,0.960882,0
full_production_autonomy,6.7,268.0,428.8,24913.200578,0.0,781560.696,0.680771,7999.38556,0.961157,0
full_production_autonomy,6.72,268.8,430.08,24920.33092,0.0,784889.082,0.681635,8016.325398,0.961433,0
full_production_autonomy,6.74,269.6,431.36,24927.461263,0.0,788217.468,0.682495,8033.255544,0.961708,0
full_production_autonomy,6.76,270.4,432.64,24934.558771,0.0,791546.3082,0.683349,8050.184412,0.961981,0
full_production_autonomy,6.78,271.2,433.92,24941.545807,0.0,794876.6766,0.6842,8067.131991,0.962251,0
full_production_autonomy,6.8,272.0,435.2,24948.521133,0.0,798207.207,0.685046,8084.073088,0.96252,0
full_production_autonomy,6.82,272.8,436.48,24955.343046,0.0,801539.8596,0.685889,8101.044264,0.962783,0
full_production_autonomy,6.84,273.6,437.76,24962.041561,0.0,804874.2192,0.686728,8118.03805,0.963042,0
full_production_autonomy,6.86,274.4,439.04,24968.740077,0.0,808208.5788,0.687563,8135.022718,0.9633,0
full_production_autonomy,6.88,275.2,440.32,24975.314284,0.0,811544.658,0.688394,8152.03055,0.963554,0
full_production_autonomy,6.9,276.0,441.6,24981.836096,0.0,814881.462,0.689221,8169.043066,0.963805,0
full_production_autonomy,6.92,276.8,442.88,24987.852867,0.0,818225.2524,0.690049,8186.178447,0.964038,0
full_production_autonomy,6.94,277.6,444.16,24993.869639,0.0,821569.0428,0.690872,8203.305578,0.96427,0
full_production_autonomy,6.96,278.4,445.44,24999.366622,0.0,824920.0236,0.691697,8220.560711,0.964482,0
full_production_autonomy,6.98,279.2,446.72,25004.845214,0.0,828271.2588,0.692517,8237.813089,0.964693,0
full_production_autonomy,7.0,280.0,448.0,25010.254193,0.0,831623.457,0.693333,8255.076244,0.964902,0
full_production_autonomy,7.02,280.8,449.28,25015.06067,0.0,834983.9898,0.694151,8272.491011,0.965087,0
full_production_autonomy,7.04,281.6,450.56,25019.867147,0.0,838344.5226,0.694965,8289.899086,0.965273,0
full_production_autonomy,7.06,282.4,451.84,25024.642048,0.0,841705.4922,0.695775,8307.308853,0.965457,0
full_production_autonomy,7.08,283.2,453.12,25029.31294,0.0,845067.9006,0.696581,8324.73964,0.965637,0
full_production_autonomy,7.1,284.0,454.4,25033.983831,0.0,848430.309,0.697382,8342.163923,0.965817,0
full_production_autonomy,7.12,284.8,455.68,25038.654723,0.0,851792.7174,0.698179,8359.581705,0.965997,0
full_production_autonomy,7.14,285.6,456.96,25043.325614,0.0,855155.1258,0.698972,8376.99299,0.966178,0
full_production_autonomy,7.16,286.4,458.24,25047.996506,0.0,858517.5342,0.69976,8394.397781,0.966358,0
full_production_autonomy,7.18,287.2,459.52,25052.667398,0.0,861879.9426,0.700544,8411.796082,0.966538,0
full_production_autonomy,7.2,288.0,460.8,25057.338289,0.0,865242.351,0.701323,8429.187896,0.966718,0
full_production_autonomy,7.22,288.8,462.08,25062.009181,0.0,868604.7594,0.702099,8446.573228,0.966899,0
full_production_autonomy,7.24,289.6,463.36,25066.680072,0.0,871967.1678,0.702869,8463.952081,0.967079,0
full_production_autonomy,7.26,290.4,464.64,25071.350964,0.0,875329.5762,0.703636,8481.324458,0.967259,0
full_production_autonomy,7.28,291.2,465.92,25076.021855,0.0,878691.9846,0.704398,8498.690364,0.967439,0
full_production_autonomy,7.3,292.0,467.2,25080.692747,0.0,882054.393,0.705157,8516.049801,0.967619,0
full_production_autonomy,7.32,292.8,468.48,25085.363639,0.0,885416.8014,0.705911,8533.402773,0.9678,0
full_production_autonomy,7.34,293.6,469.76,25090.03453,0.0,888779.2098,0.706661,8550.749285,0.96798,0
full_production_autonomy,7.36,294.4,471.04,25094.705422,0.0,892141.6182,0.707406,8568.089339,0.96816,0
full_production_autonomy,7.38,295.2,472.32,25099.376313,0.0,895504.0266,0.708148,8585.422939,0.96834,0
full_production_autonomy,7.4,296.0,473.6,25104.047205,0.0,898866.435,0.708886,8602.750089,0.96852,0
full_production_autonomy,7.42,296.8,474.88,25108.718096,0.0,902228.8434,0.70962,8620.070792,0.968701,0
full_production_autonomy,7.44,297.6,476.16,25113.388988,0.0,905591.2518,0.71035,8637.385053,0.968881,0
full_production_autonomy,7.46,298.4,477.44,25118.05988,0.0,908953.6602,0.711076,8654.692873,0.969061,0
full_production_autonomy,7.48,299.2,478.72,25122.730771,0.0,912316.0686,0.711798,8671.994258,0.969241,0
full_production_autonomy,7.5,300.0,480.0,25127.401663,0.0,915678.477,0.712516,8689.289211,0.969421,0
full_production_autonomy,7.52,300.8,481.28,25132.072554,0.0,919040.8854,0.713231,8706.577735,0.969602,0
full_production_autonomy,7.54,301.6,482.56,25136.743446,0.0,922403.2938,0.713941,8723.859834,0.969782,0
full_production_autonomy,7.56,302.4,483.84,25141.368578,0.0,925766.3352,0.714649,8741.148386,0.96996,0
full_production_autonomy,7.58,303.2,485.12,25145.908482,0.0,929130.5556,0.715353,8758.454611,0.970135,0
full_production_autonomy,7.6,304.0,486.4,25150.448386,0.0,932494.776,0.716054,8775.754589,0.970311,0
full_production_autonomy,7.62,304.8,487.68,25154.604347,0.0,935864.3076,0.716755,8793.157078,0.970471,0
full_production_autonomy,7.64,305.6,488.96,25158.64667,0.0,939235.4112,0.717454,8810.586082,0.970627,0
full_production_autonomy,7.66,306.4,490.24,25162.688993,0.0,942606.5148,0.718149,8828.009486,0.970783,0
full_production_autonomy,7.68,307.2,491.52,25166.697398,0.0,945978.0876,0.718841,8845.436966,0.970937,0
full_production_autonomy,7.7,308.0,492.8,25170.611855,0.0,949350.96,0.71953,8862.885752,0.971088,0
full_production_autonomy,7.72,308.8,494.08,25174.526313,0.0,952723.8324,0.720216,8880.32911,0.971239,0
full_production_autonomy,7.74,309.6,495.36,25178.440771,0.0,956096.7048,0.720898,8897.767046,0.97139,0
full_production_autonomy,7.76,310.4,496.64,25182.355229,0.0,959469.5772,0.721577,8915.199559,0.971541,0
full_production_autonomy,7.78,311.2,497.92,25186.269687,0.0,962842.4496,0.722252,8932.626655,0.971693,0
full_production_autonomy,7.8,312.0,499.2,25190.184145,0.0,966215.322,0.722924,8950.048334,0.971844,0
full_production_autonomy,7.82,312.8,500.48,25194.098602,0.0,969588.1944,0.723592,8967.464599,0.971995,0
full_production_autonomy,7.84,313.6,501.76,25198.01306,0.0,972961.0668,0.724257,8984.875453,0.972146,0
full_production_autonomy,7.86,314.4,503.04,25201.927518,0.0,976333.9392,0.724918,9002.280898,0.972297,0
full_production_autonomy,7.88,315.2,504.32,25205.841976,0.0,979706.8116,0.725576,9019.680938,0.972448,0
full_production_autonomy,7.9,316.0,505.6,25209.756434,0.0,983079.684,0.726231,9037.075573,0.972599,0
full_production_autonomy,7.92,316.8,506.88,25213.670892,0.0,986452.5564,0.726882,9054.464808,0.97275,0
full_production_autonomy,7.94,317.6,508.16,25217.585349,0.0,989825.4288,0.72753,9071.848644,0.972901,0
full_production_autonomy,7.96,318.4,509.44,25221.499807,0.0,993198.3012,0.728175,9089.227084,0.973052,0
full_production_autonomy,7.98,319.2,510.72,25225.414265,0.0,996571.1736,0.728817,9106.600131,0.973203,0
full_production_autonomy,8.0,320.0,512.0,25229.328723,0.0,999944.046,0.729455,9123.967786,0.973354,0
full_production_autonomy,8.02,320.8,513.28,25233.243181,0.0,1003316.9184,0.730091,9141.330053,0.973505,0
full_production_autonomy,8.04,321.6,514.56,25237.157639,0.0,1006689.7908,0.730723,9158.686934,0.973656,0
full_production_autonomy,8.06,322.4,515.84,25241.072096,0.0,1010062.6632,0.731352,9176.038431,0.973807,0
full_production_autonomy,8.08,323.2,517.12,25244.764655,0.0,1013438.6052,0.73198,9193.450698,0.973949,0
full_production_autonomy,8.1,324.0,518.4,25248.218313,0.0,1016817.852,0.732607,9210.929246,0.974082,0
full_production_autonomy,8.12,324.8,519.68,25251.671971,0.0,1020197.0988,0.733231,9228.403013,0.974216,0
full_production_autonomy,8.14,325.6,520.96,25255.125629,0.0,1023576.3456,0.733853,9245.872001,0.974349,0
full_production_autonomy,8.16,326.4,522.24,25258.506072,0.0,1026956.6052,0.734472,9263.358229,0.974479,0
full_production_autonomy,8.18,327.2,523.52,25261.838892,0.0,1030337.5236,0.735088,9280.854129,0.974608,0
full_production_autonomy,8.2,328.0,524.8,25265.171711,0.0,1033718.442,0.735701,9298.345413,0.974737,0
full_production_autonomy,8.22,328.8,526.08,25268.50453,0.0,1037099.3604,0.736312,9315.832083,0.974865,0
full_production_autonomy,8.24,329.6,527.36,25271.837349,0.0,1040480.2788,0.736919,9333.314141,0.974994,0
full_production_autonomy,8.26,330.4,528.64,25275.170169,0.0,1043861.1972,0.737523,9350.791589,0.975122,0
full_production_autonomy,8.28,331.2,529.92,25278.250207,0.0,1047245.6124,0.738127,9368.341433,0.975241,0
full_production_autonomy,8.3,332.0,531.2,25281.130554,0.0,1050632.79,0.73873,9385.947967,0.975352,0
full_production_autonomy,8.32,332.8,532.48,25284.010901,0.0,1054019.9676,0.73933,9403.550488,0.975463,0
full_production_autonomy,8.34,333.6,533.76,25286.891248,0.0,1057407.1452,0.739928,9421.149,0.975575,0
full_production_autonomy,8.36,334.4,535.04,25289.771595,0.0,1060794.3228,0.740522,9438.743503,0.975686,0
full_production_autonomy,8.38,335.2,536.32,25292.651942,0.0,1064181.5004,0.741114,9456.333999,0.975797,0
full_production_autonomy,8.4,336.0,537.6,25295.532289,0.0,1067568.678,0.741702,9473.920488,0.975908,0
full_production_autonomy,8.42,336.8,538.88,25298.412636,0.0,1070955.8556,0.742288,9491.502973,0.976019,0
full_production_autonomy,8.44,337.6,540.16,25301.292983,0.0,1074343.0332,0.742871,9509.081455,0.97613,0
full_production_autonomy,8.46,338.4,541.44,25304.17333,0.0,1077730.2108,0.743452,9526.655935,0.976241,0
full_production_autonomy,8.48,339.2,542.72,25307.053677,0.0,1081117.3884,0.744029,9544.226414,0.976352,0
full_production_autonomy,8.5,340.0,544.0,25309.934024,0.0,1084504.566,0.744604,9561.792894,0.976464,0
full_production_autonomy,8.52,340.8,545.28,25312.814371,0.0,1087891.7436,0.745176,9579.355377,0.976575,0
full_production_autonomy,8.54,341.6,546.56,25315.694718,0.0,1091278.9212,0.745746,9596.913863,0.976686,0
full_production_autonomy,8.56,342.4,547.84,25318.514386,0.0,1094666.9382,0.746313,9614.487399,0.976795,0
full_production_autonomy,8.58,343.2,549.12,25321.279012,0.0,1098055.7166,0.746879,9632.074334,0.976901,0
full_production_autonomy,8.6,344.0,550.4,25324.043639,0.0,1101444.495,0.747442,9649.657429,0.977008,0
full_production_autonomy,8.62,344.8,551.68,25326.808265,0.0,1104833.2734,0.748002,9667.236686,0.977115,0
full_production_autonomy,8.64,345.6,552.96,25329.572892,0.0,1108222.0518,0.748559,9684.812105,0.977221,0
full_production_autonomy,8.66,346.4,554.24,25332.337518,0.0,1111610.8302,0.749114,9702.383688,0.977328,0
full_production_autonomy,8.68,347.2,555.52,25335.102145,0.0,1114999.6086,0.749666,9719.951436,0.977434,0
full_production_autonomy,8.7,348.0,556.8,25337.866771,0.0,1118388.387,0.750216,9737.51535,0.977541,0
full_production_autonomy,8.72,348.8,558.08,25340.631398,0.0,1121777.1654,0.750764,9755.075432,0.977648,0
full_production_autonomy,8.74,349.6,559.36,25343.396024,0.0,1125165.9438,0.751308,9772.631683,0.977754,0
full_production_autonomy,8.76,350.4,560.64,25346.160651,0.0,1128554.7222,0.751851,9790.184103,0.977861,0
full_production_autonomy,8.78,351.2,561.92,25348.925277,0.0,1131943.5006,0.75239,9807.732696,0.977968,0
full_production_autonomy,8.8,352.0,563.2,25351.689904,0.0,1135332.279,0.752928,9825.277461,0.978074,0
full_production_autonomy,8.82,352.8,564.48,25354.45453,0.0,1138721.0574,0.753463,9842.818399,0.978181,0
full_production_autonomy,8.84,353.6,565.76,25356.875639,0.0,1142114.5878,0.753998,9860.466502,0.978275,0
full_production_autonomy,8.86,354.4,567.04,25359.21694,0.0,1145509.2222,0.754532,9878.137074,0.978365,0
full_production_autonomy,8.88,355.2,568.32,25361.558241,0.0,1148903.8566,0.755064,9895.804383,0.978455,0
full_production_autonomy,8.9,356.0,569.6,25363.899542,0.0,1152298.491,0.755593,9913.468431,0.978546,0
full_production_autonomy,8.92,356.8,570.88,25366.240843,0.0,1155693.1254,0.75612,9931.129218,0.978636,0
full_production_autonomy,8.94,357.6,572.16,25368.582145,0.0,1159087.7598,0.756644,9948.786745,0.978726,0
full_production_autonomy,8.96,358.4,573.44,25370.923446,0.0,1162482.3942,0.757167,9966.441013,0.978816,0
full_production_autonomy,8.98,359.2,574.72,25373.264747,0.0,1165877.0286,0.757686,9984.092023,0.978907,0
full_production_autonomy,9.0,360.0,576.0,25375.606048,0.0,1169271.663,0.758204,10001.739776,0.978997,0
