scenario_id,target_NH3_t_per_day,on_hours,on_hour_list,E_wind_MWh,E_pv_MWh,E_re_MWh,E_buy_MWh,E_sell_MWh,E_self_MWh,E_total_MWh,E_use_MWh,E_load_MWh,E_alk_MWh,E_pem_MWh,E_nh3_MWh,self_use_ratio,green_ratio,green_internal_use_ratio,sell_ratio,daily_cost_yuan,daily_nh3_fixed_capex_yuan,daily_sell_revenue_yuan,daily_net_cost_yuan,unit_cost_yuan_per_t,device_utilization,indicator_class
W5_P1,45.0,15,0 1 2 3 4 5 6 9 10 11 13 14 15 16 23,309.98,509.44,819.42,212.7502,348.9502,470.4698,1032.1702,683.22,60.72,300.0,300.0,22.5,0.57415,0.455806,0.688607,0.42585,258853.801813,3333.333333,131868.28058,126985.521233,2821.900472,0.625,partly_satisfied
W5_P1,36.0,12,0 1 2 3 4 5 6 9 10 11 13 23,309.98,509.44,819.42,212.7502,473.4502,345.9698,1032.1702,558.72,60.72,240.0,240.0,18.0,0.422213,0.335187,0.619219,0.577787,243844.801813,3333.333333,178916.83058,64927.971233,1803.554756,0.5,partly_satisfied
W5_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,250.88,560.86,505.7104,9.8504,551.0096,1066.5704,1056.72,60.72,480.0,480.0,36.0,0.982437,0.516618,0.521434,0.017563,468223.147293,3333.333333,3722.46616,464500.681133,6451.398349,1.0,all_satisfied
W5_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,250.88,560.86,406.7526,35.3926,525.4674,967.6126,932.22,60.72,420.0,420.0,31.5,0.936896,0.543056,0.563673,0.063104,373810.408573,3333.333333,13374.86354,360435.545033,5721.199128,0.875,all_satisfied
W5_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,309.98,250.88,560.86,303.7442,56.8842,503.9758,864.6042,807.72,60.72,360.0,360.0,27.0,0.898577,0.582898,0.623949,0.101423,296234.106413,3333.333333,21496.53918,274737.567233,5087.732727,0.75,all_satisfied
W5_P2,45.0,15,0 1 2 3 4 5 6 9 10 11 12 13 14 16 23,309.98,250.88,560.86,253.6064,131.2464,429.6136,814.4664,683.22,60.72,300.0,300.0,22.5,0.765991,0.527479,0.628807,0.234009,250771.406693,3333.333333,49598.01456,201173.392133,4470.519825,0.625,partly_satisfied
W5_P2,36.0,12,0 1 2 3 4 5 6 9 11 12 13 23,309.98,250.88,560.86,233.6822,235.8222,325.0378,794.5422,558.72,60.72,240.0,240.0,18.0,0.579535,0.409088,0.581754,0.420465,221800.498613,3333.333333,89117.20938,132683.289233,3685.646923,0.5,partly_satisfied
W5_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,85.12,395.1,661.62,0.0,395.1,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.373893,0.373893,0.0,561453.010333,3333.333333,0.0,561453.010333,7797.958477,1.0,all_satisfied
W5_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,85.12,395.1,560.7422,23.6222,371.4778,955.8422,932.22,60.72,420.0,420.0,31.5,0.940212,0.388639,0.398487,0.059788,465499.663613,3333.333333,8926.82938,456572.834233,7247.187845,0.875,all_satisfied
W5_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 11 12 13 15 16 17 21 23,309.98,85.12,395.1,476.588,63.968,331.132,871.688,807.72,60.72,360.0,360.0,27.0,0.838097,0.379874,0.409959,0.161903,390152.253533,3333.333333,24173.5072,365978.746333,6777.384191,0.75,all_satisfied
W5_P3,45.0,15,0 1 2 3 4 5 6 8 9 12 13 15 16 17 23,309.98,85.12,395.1,388.9636,100.8436,294.2564,784.0636,683.22,60.72,300.0,300.0,22.5,0.744764,0.375297,0.430691,0.255236,318107.552973,3333.333333,38108.79644,279998.756533,6222.19459,0.625,partly_satisfied
W5_P3,36.0,12,0 1 2 3 4 5 6 8 9 15 16 23,309.98,85.12,395.1,320.6582,157.0382,238.0618,715.7582,558.72,60.72,240.0,240.0,18.0,0.602536,0.332601,0.426084,0.397464,254738.521013,3333.333333,59344.73578,195393.785233,5427.605145,0.5,partly_satisfied
W5_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,20.48,330.46,726.26,0.0,330.46,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.312722,0.312722,0.0,600945.746333,3333.333333,0.0,600945.746333,8346.468699,1.0,all_satisfied
W5_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,20.48,330.46,624.1022,22.3422,308.1178,954.5622,932.22,60.72,420.0,420.0,31.5,0.932391,0.322784,0.33052,0.067609,503965.327613,3333.333333,8443.11738,495522.210233,7865.431908,0.875,all_satisfied
W5_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,309.98,20.48,330.46,532.932,55.672,274.788,863.392,807.72,60.72,360.0,360.0,27.0,0.831532,0.318266,0.340202,0.168468,415801.359133,3333.333333,21038.4488,394762.910333,7310.424265,0.75,all_satisfied
W5_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 21 23,309.98,20.48,330.46,445.4784,92.7184,237.7416,775.9384,683.22,60.72,300.0,300.0,22.5,0.719426,0.306392,0.347972,0.280574,337806.510493,3333.333333,35038.28336,302768.227133,6728.182825,0.625,partly_satisfied
W5_P4,36.0,12,0 1 2 3 4 5 6 8 9 16 21 23,309.98,20.48,330.46,338.4842,110.2242,220.2358,668.9442,558.72,60.72,240.0,240.0,18.0,0.666452,0.329229,0.394179,0.333548,257809.233413,3333.333333,41653.72518,216155.508233,6004.319673,0.5,partly_satisfied
W6_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,509.44,715.76,431.7862,90.8262,624.9338,1147.5462,1056.72,60.72,480.0,480.0,36.0,0.873105,0.544583,0.59139,0.126895,431312.259213,3333.333333,34323.22098,396989.038233,5513.736642,1.0,all_satisfied
W6_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,206.32,509.44,715.76,339.4604,123.0004,592.7596,1055.2204,932.22,60.72,420.0,420.0,31.5,0.828154,0.56174,0.635858,0.171846,342221.037293,3333.333333,46481.85116,295739.186133,4694.272796,0.875,all_satisfied
W6_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,206.32,509.44,715.76,257.4304,165.4704,550.2896,973.1904,807.72,60.72,360.0,360.0,27.0,0.768819,0.565449,0.681288,0.231181,277387.015293,3333.333333,62531.26416,214855.751133,3978.810206,0.75,partly_satisfied
W6_P1,45.0,15,0 1 2 3 4 5 6 8 9 10 11 12 14 15 23,206.32,509.44,715.76,243.1862,275.7262,440.0338,958.9462,683.22,60.72,300.0,300.0,22.5,0.614778,0.458872,0.644059,0.385222,253726.088213,3333.333333,104196.93098,149529.157233,3322.870161,0.625,partly_satisfied
W6_P1,36.0,12,0 1 2 3 4 5 6 8 9 10 14 23,206.32,509.44,715.76,243.1862,400.2262,315.5338,958.9462,558.72,60.72,240.0,240.0,18.0,0.440837,0.329042,0.564744,0.559163,238717.088213,3333.333333,151245.48098,87471.607233,2429.766868,0.5,partly_satisfied
W6_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,250.88,457.2,599.52,0.0,457.2,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.43266,0.43266,0.0,506686.170333,3333.333333,0.0,506686.170333,7037.307921,1.0,all_satisfied
W6_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,206.32,250.88,457.2,498.8742,23.8542,433.3458,956.0742,932.22,60.72,420.0,420.0,31.5,0.947825,0.453255,0.464854,0.052175,410918.980413,3333.333333,9014.50218,401904.478233,6379.436162,0.875,all_satisfied
W6_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,206.32,250.88,457.2,397.4258,46.9058,410.2942,854.6258,807.72,60.72,360.0,360.0,27.0,0.897406,0.480086,0.507966,0.102594,334290.222253,3333.333333,17725.70182,316564.520433,5862.305934,0.75,all_satisfied
W6_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,206.32,250.88,457.2,331.216,105.196,352.004,788.416,683.22,60.72,300.0,300.0,22.5,0.769913,0.44647,0.515213,0.230087,276214.450733,3333.333333,39753.5684,236460.882333,5254.686274,0.625,partly_satisfied
W6_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,206.32,250.88,457.2,283.01,181.49,275.71,740.21,558.72,60.72,240.0,240.0,18.0,0.60304,0.372475,0.493467,0.39696,230369.026333,3333.333333,68585.071,161783.955333,4493.998759,0.5,partly_satisfied
W6_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,85.12,291.44,765.28,0.0,291.44,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.275797,0.275797,0.0,607819.994333,3333.333333,0.0,607819.994333,8441.944366,1.0,partly_satisfied
W6_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,206.32,85.12,291.44,662.7142,21.9342,269.5058,954.1542,932.22,60.72,420.0,420.0,31.5,0.924739,0.282455,0.289101,0.075261,510512.196413,3333.333333,8288.93418,502223.262233,7971.797813,0.875,partly_satisfied
W6_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,206.32,85.12,291.44,574.816,58.536,232.904,866.256,807.72,60.72,360.0,360.0,27.0,0.799149,0.268863,0.288347,0.200851,424973.680733,3333.333333,22120.7544,402852.926333,7460.239377,0.75,partly_satisfied
W6_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 21 23,206.32,85.12,291.44,490.9504,99.1704,192.2696,782.3904,683.22,60.72,300.0,300.0,22.5,0.659723,0.245746,0.281417,0.340277,349568.463293,3333.333333,37476.49416,312091.969133,6935.377092,0.625,partly_satisfied
W6_P3,36.0,12,0 1 2 3 4 5 6 7 8 15 17 23,206.32,85.12,291.44,389.0982,121.8182,169.6218,680.5382,558.72,60.72,240.0,240.0,18.0,0.582013,0.249247,0.30359,0.417987,272694.437013,3333.333333,46035.09778,226659.339233,6296.092756,0.5,none_satisfied
W6_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,20.48,226.8,829.92,0.0,226.8,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.214626,0.214626,0.0,647312.730333,3333.333333,0.0,647312.730333,8990.454588,1.0,partly_satisfied
W6_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,206.32,20.48,226.8,715.7518,10.3318,216.4682,942.5518,932.22,60.72,420.0,420.0,31.5,0.954445,0.229662,0.232207,0.045555,540695.166653,3333.333333,3904.38722,536790.779433,8520.488562,0.875,partly_satisfied
W6_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,206.32,20.48,226.8,613.856,32.936,193.864,840.656,807.72,60.72,360.0,360.0,27.0,0.85478,0.23061,0.240014,0.14522,443924.976733,3333.333333,12446.5144,431478.462333,7990.341895,0.75,partly_satisfied
W6_P4,45.0,15,0 1 2 3 4 5 6 7 8 15 16 17 21 22 23,206.32,20.48,226.8,511.2504,54.8304,171.9696,738.0504,683.22,60.72,300.0,300.0,22.5,0.758243,0.233005,0.251705,0.241757,354141.883293,3333.333333,20720.40816,333421.475133,7409.366114,0.625,partly_satisfied
W6_P4,36.0,12,0 1 2 3 4 5 6 7 8 21 22 23,206.32,20.48,226.8,397.7524,65.8324,160.9676,624.5524,558.72,60.72,240.0,240.0,18.0,0.709734,0.257733,0.288101,0.290266,270194.198093,3333.333333,24878.06396,245316.134133,6814.337059,0.5,partly_satisfied
