scenario_id,target_NH3_t_per_day,on_hours,on_hour_list,E_wind_MWh,E_pv_MWh,E_re_MWh,E_buy_MWh,E_sell_MWh,E_self_MWh,E_total_MWh,E_use_MWh,E_load_MWh,E_alk_MWh,E_pem_MWh,E_nh3_MWh,self_use_ratio,green_ratio,green_internal_use_ratio,sell_ratio,daily_cost_yuan,daily_sell_revenue_yuan,daily_net_cost_yuan,unit_cost_yuan_per_t,device_utilization,indicator_class
W5_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,309.98,250.88,560.86,303.7442,56.8842,503.9758,864.6042,807.72,60.72,360.0,360.0,27.0,0.898577,0.582898,0.623949,0.101423,292900.77308,21496.53918,271404.2339,5026.004331,0.75,all_satisfied
W5_P2,45.0,15,0 1 2 3 4 5 6 9 10 11 12 13 14 16 23,309.98,250.88,560.86,253.6064,131.2464,429.6136,814.4664,683.22,60.72,300.0,300.0,22.5,0.765991,0.527479,0.628807,0.234009,247438.07336,49598.01456,197840.0588,4396.445751,0.625,partly_satisfied
W5_P2,36.0,12,0 1 2 3 4 5 6 9 11 12 13 23,309.98,250.88,560.86,233.6822,235.8222,325.0378,794.5422,558.72,60.72,240.0,240.0,18.0,0.579535,0.409088,0.581754,0.420465,218467.16528,89117.20938,129349.9559,3593.054331,0.5,partly_satisfied
W5_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,85.12,395.1,661.62,0.0,395.1,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.373893,0.373893,0.0,558119.677,0.0,558119.677,7751.662181,1.0,all_satisfied
W5_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,85.12,395.1,560.7422,23.6222,371.4778,955.8422,932.22,60.72,420.0,420.0,31.5,0.940212,0.388639,0.398487,0.059788,462166.33028,8926.82938,453239.5009,7194.277792,0.875,all_satisfied
W5_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 11 12 13 15 16 17 21 23,309.98,85.12,395.1,476.588,63.968,331.132,871.688,807.72,60.72,360.0,360.0,27.0,0.838097,0.379874,0.409959,0.161903,386818.9202,24173.5072,362645.413,6715.655796,0.75,all_satisfied
W5_P3,45.0,15,0 1 2 3 4 5 6 8 9 12 13 15 16 17 23,309.98,85.12,395.1,388.9636,100.8436,294.2564,784.0636,683.22,60.72,300.0,300.0,22.5,0.744764,0.375297,0.430691,0.255236,314774.21964,38108.79644,276665.4232,6148.120516,0.625,partly_satisfied
W5_P3,36.0,12,0 1 2 3 4 5 6 8 9 15 16 23,309.98,85.12,395.1,320.6582,157.0382,238.0618,715.7582,558.72,60.72,240.0,240.0,18.0,0.602536,0.332601,0.426084,0.397464,251405.18768,59344.73578,192060.4519,5335.012553,0.5,partly_satisfied
W5_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,309.98,20.48,330.46,726.26,0.0,330.46,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.312722,0.312722,0.0,597612.413,0.0,597612.413,8300.172403,1.0,all_satisfied
W5_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,309.98,20.48,330.46,624.1022,22.3422,308.1178,954.5622,932.22,60.72,420.0,420.0,31.5,0.932391,0.322784,0.33052,0.067609,500631.99428,8443.11738,492188.8769,7812.521856,0.875,all_satisfied
W5_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,309.98,20.48,330.46,532.932,55.672,274.788,863.392,807.72,60.72,360.0,360.0,27.0,0.831532,0.318266,0.340202,0.168468,412468.0258,21038.4488,391429.577,7248.69587,0.75,all_satisfied
W5_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 21 23,309.98,20.48,330.46,445.4784,92.7184,237.7416,775.9384,683.22,60.72,300.0,300.0,22.5,0.719426,0.306392,0.347972,0.280574,334473.17716,35038.28336,299434.8938,6654.108751,0.625,partly_satisfied
W5_P4,36.0,12,0 1 2 3 4 5 6 8 9 16 21 23,309.98,20.48,330.46,338.4842,110.2242,220.2358,668.9442,558.72,60.72,240.0,240.0,18.0,0.666452,0.329229,0.394179,0.333548,254475.90008,41653.72518,212822.1749,5911.727081,0.5,partly_satisfied
W6_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,509.44,715.76,431.7862,90.8262,624.9338,1147.5462,1056.72,60.72,480.0,480.0,36.0,0.873105,0.544583,0.59139,0.126895,427978.92588,34323.22098,393655.7049,5467.440346,1.0,all_satisfied
W6_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,206.32,509.44,715.76,339.4604,123.0004,592.7596,1055.2204,932.22,60.72,420.0,420.0,31.5,0.828154,0.56174,0.635858,0.171846,338887.70396,46481.85116,292405.8528,4641.362743,0.875,all_satisfied
W6_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,206.32,509.44,715.76,257.4304,165.4704,550.2896,973.1904,807.72,60.72,360.0,360.0,27.0,0.768819,0.565449,0.681288,0.231181,274053.68196,62531.26416,211522.4178,3917.081811,0.75,partly_satisfied
W6_P1,45.0,15,0 1 2 3 4 5 6 8 9 10 11 12 14 15 23,206.32,509.44,715.76,243.1862,275.7262,440.0338,958.9462,683.22,60.72,300.0,300.0,22.5,0.614778,0.458872,0.644059,0.385222,250392.75488,104196.93098,146195.8239,3248.796087,0.625,partly_satisfied
W6_P1,36.0,12,0 1 2 3 4 5 6 8 9 10 14 23,206.32,509.44,715.76,243.1862,400.2262,315.5338,958.9462,558.72,60.72,240.0,240.0,18.0,0.440837,0.329042,0.564744,0.559163,235383.75488,151245.48098,84138.2739,2337.174275,0.5,partly_satisfied
W6_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,250.88,457.2,599.52,0.0,457.2,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.43266,0.43266,0.0,503352.837,0.0,503352.837,6991.011625,1.0,all_satisfied
W6_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,206.32,250.88,457.2,498.8742,23.8542,433.3458,956.0742,932.22,60.72,420.0,420.0,31.5,0.947825,0.453255,0.464854,0.052175,407585.64708,9014.50218,398571.1449,6326.52611,0.875,all_satisfied
W6_P2,54.0,18,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23,206.32,250.88,457.2,397.4258,46.9058,410.2942,854.6258,807.72,60.72,360.0,360.0,27.0,0.897406,0.480086,0.507966,0.102594,330956.88892,17725.70182,313231.1871,5800.577539,0.75,all_satisfied
W6_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,206.32,250.88,457.2,331.216,105.196,352.004,788.416,683.22,60.72,300.0,300.0,22.5,0.769913,0.44647,0.515213,0.230087,272881.1174,39753.5684,233127.549,5180.6122,0.625,partly_satisfied
W6_P2,36.0,12,0 1 2 3 4 5 6 12 13 14 15 23,206.32,250.88,457.2,283.01,181.49,275.71,740.21,558.72,60.72,240.0,240.0,18.0,0.60304,0.372475,0.493467,0.39696,227035.693,68585.071,158450.622,4401.406167,0.5,partly_satisfied
W6_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,85.12,291.44,765.28,0.0,291.44,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.275797,0.275797,0.0,604486.661,0.0,604486.661,8395.648069,1.0,partly_satisfied
W6_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,206.32,85.12,291.44,662.7142,21.9342,269.5058,954.1542,932.22,60.72,420.0,420.0,31.5,0.924739,0.282455,0.289101,0.075261,507178.86308,8288.93418,498889.9289,7918.88776,0.875,partly_satisfied
W6_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,206.32,85.12,291.44,574.816,58.536,232.904,866.256,807.72,60.72,360.0,360.0,27.0,0.799149,0.268863,0.288347,0.200851,421640.3474,22120.7544,399519.593,7398.510981,0.75,partly_satisfied
W6_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 21 23,206.32,85.12,291.44,490.9504,99.1704,192.2696,782.3904,683.22,60.72,300.0,300.0,22.5,0.659723,0.245746,0.281417,0.340277,346235.12996,37476.49416,308758.6358,6861.303018,0.625,partly_satisfied
W6_P3,36.0,12,0 1 2 3 4 5 6 7 8 15 17 23,206.32,85.12,291.44,389.0982,121.8182,169.6218,680.5382,558.72,60.72,240.0,240.0,18.0,0.582013,0.249247,0.30359,0.417987,269361.10368,46035.09778,223326.0059,6203.500164,0.5,none_satisfied
W6_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,206.32,20.48,226.8,829.92,0.0,226.8,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.214626,0.214626,0.0,643979.397,0.0,643979.397,8944.158292,1.0,partly_satisfied
W6_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23,206.32,20.48,226.8,715.7518,10.3318,216.4682,942.5518,932.22,60.72,420.0,420.0,31.5,0.954445,0.229662,0.232207,0.045555,537361.83332,3904.38722,533457.4461,8467.57851,0.875,partly_satisfied
W6_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,206.32,20.48,226.8,613.856,32.936,193.864,840.656,807.72,60.72,360.0,360.0,27.0,0.85478,0.23061,0.240014,0.14522,440591.6434,12446.5144,428145.129,7928.6135,0.75,partly_satisfied
W6_P4,45.0,15,0 1 2 3 4 5 6 7 8 15 16 17 21 22 23,206.32,20.48,226.8,511.2504,54.8304,171.9696,738.0504,683.22,60.72,300.0,300.0,22.5,0.758243,0.233005,0.251705,0.241757,350808.54996,20720.40816,330088.1418,7335.29204,0.625,partly_satisfied
W6_P4,36.0,12,0 1 2 3 4 5 6 7 8 21 22 23,206.32,20.48,226.8,397.7524,65.8324,160.9676,624.5524,558.72,60.72,240.0,240.0,18.0,0.709734,0.257733,0.288101,0.290266,266860.86476,24878.06396,241982.8008,6721.744467,0.5,partly_satisfied
